Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug class,Drug name,Drug code
1,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",9,0.89,,,25.04,240,,,,NA,NA,NA
2,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0781,Ambulatory infusion pump 1 or multiple channels patient wears,6,0,,,,384,,,,NA,NA,NA
3,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9279,"Monitor feature/device, stand-alone or integrated, any type, not otherwise classified",1,0,,,,432,,,,NA,NA,NA
4,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",9,0.89,,,25.04,,,,,NA,NA,NA
5,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0781,Ambulatory infusion pump 1 or multiple channels patient wears,6,0,,,,,,,,NA,NA,NA
6,Carrier B,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A9279,"Monitor feature/device, stand-alone or integrated, any type, not otherwise classified",1,0,,,,,,,,NA,NA,NA
7,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",30,1,,39.07,92.8,0.46,,,,NA,NA,NA
8,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",13,1,,,92.34,,,,,NA,NA,NA
9,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",71,0.96,,64.63,90.11,0.46,,,,NA,NA,NA
10,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9278,"Receiver (monitor); external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",21,0.95,,,84.42,,,,,NA,NA,NA
11,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",13,0.92,,,114.75,,,,,NA,NA,NA
12,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,K0554,"Receiver (monitor), dedicated, for use with therapeutic glucose continuous monitor system",1,0,,,193.68,,,,,NA,NA,NA
13,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",1,0,,,193.68,,,,,NA,NA,NA
14,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",30,1,,39.07,92.8,0.46,,,,NA,NA,NA
15,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",13,1,,,92.34,,,,,NA,NA,NA
16,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",71,0.96,,64.63,90.11,0.46,,,,NA,NA,NA
17,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A9278,"Receiver (monitor); external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",21,0.95,,,84.42,,,,,NA,NA,NA
18,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",13,0.92,,,114.75,,,,,NA,NA,NA
19,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,K0554,"Receiver (monitor), dedicated, for use with therapeutic glucose continuous monitor system",1,0,,,193.68,,,,,NA,NA,NA
20,Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",1,0,,,193.68,,,,,NA,NA,NA
21,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,95249,"Glucose monitoring 72 hrs, pt provided equip, training and recording",11,1,,,188.2,,,,,NA,NA,NA
22,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",8,1,,0.3,75.4,,,,,NA,NA,NA
23,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A4230,Infus insulin pump non needl,449,0.99,,6.7,199.1,,,,,NA,NA,NA
24,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",62,0.98,,10.5,270.1,,,,,NA,NA,NA
25,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A4456,Adhesive remover wipes any type each,11,0.91,,7.2,368.8,,,,,NA,NA,NA
26,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,95250,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneou,29,0.86,,16.1,429.4,,,,,NA,NA,NA
27,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",1041,0.85,,14.7,371.7,,,,,NA,NA,NA
28,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0607,Home blood glucose monitor,10,0.8,,7.3,193.9,,,,,NA,NA,NA
29,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",179,0.78,,63.9,385.1,,,,,NA,NA,NA
30,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",21,0.67,,34.3,956.6,,,,,NA,NA,NA
31,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,95249,"Glucose monitoring 72 hrs, pt provided equip, training and recording",11,1,,,188.2,,,,,NA,NA,NA
32,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",8,1,,0.3,75.4,,,,,NA,NA,NA
33,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A6460,Synthetic drsg <= 16 sq i,2,1,,,0.1,,,,,NA,NA,NA
34,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4221,Weekly supplies drug infus cath,2,1,,,382.5,,,,,NA,NA,NA
35,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4245,Alcohol wipes per box,1,1,,0.2,,,,,,NA,NA,NA
36,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A6461,Synthetic drsg >16<=48 sq,1,1,,,0.1,,,,,NA,NA,NA
37,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9278,"Receiver (monitor); external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",1,1,,,1.5,,,,,NA,NA,NA
38,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4340,Indwelling cath special,1,1,,0.1,,,,,,NA,NA,NA
39,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A5120,Skin barrier wipes or swabs each,1,1,,,191.6,,,,,NA,NA,NA
40,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4352,Coude tip urinary cath,1,1,,4.4,,,,,,NA,NA,NA
41,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0781,Ambulatory infusion pump 1 or multiple channels patient wears,1,0,1,,1013,,,,,NA,NA,NA
42,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,"External ambulatory infusion pump, insulin",179,0,0.02,63.9,385.1,,,,,NA,NA,NA
43,Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",1041,0,0.01,14.7,371.7,,,,,NA,NA,NA
44,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A4230,Infus insulin pump non needl,74,1,,6.2,197.2,,,,,NA,NA,NA
45,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",17,1,,9.8,517.4,,,,,NA,NA,NA
46,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",7,1,,42.7,594.1,,,,,NA,NA,NA
